Mars-scaled Solar Photon Irradiance from LISIRD...http://lasp.colorado.edu/lisird/whi_ref_spectra/
I resampled these to 1-nm intervals and converted to photons 
assuming that all of the light was at the center of the bin.
Wavelength [nm]	Spectral Irradiance [ph/cm2/s/nm]
816.5	1.8901073965483478e14
817.5	1.8878478773858956e14
818.5	1.885754686560251e14
819.5	1.8838462483669022e14
820.5	1.8818385532126216e14
821.5	1.879998531075925e14
822.5	1.8782376390652984e14
823.5	1.8765919233009372e14
824.5	1.874900900469738e14
825.5	1.8730570177979062e14
826.5	1.8711314566130453e14
827.5	1.8690162737501694e14
828.5	1.8668545692700756e14
829.5	1.8643043930199047e14
830.5	1.8615084763576622e14
831.5	1.8585381090529488e14
832.5	1.855627428224033e14
833.5	1.8524693803530716e14
834.5	1.8492622082569356e14
835.5	1.8460601437789147e14
836.5	1.8432260989101116e14
837.5	1.840361831256416e14
838.5	1.8374854614757244e14
839.5	1.8345605747450478e14
840.5	1.8315688118340938e14
841.5	1.8281449617813972e14
842.5	1.8246749045932753e14
843.5	1.82103961107927e14
844.5	1.8172037410765928e14
845.5	1.8132931599592703e14
846.5	1.8093535510878753e14
847.5	1.8054896336467897e14
848.5	1.8018875927871056e14
849.5	1.7985410347686106e14
850.5	1.7953955715915375e14
851.5	1.7924741192189425e14
852.5	1.789884748777371e14
853.5	1.7875731373322538e14
854.5	1.7854865549619775e14
855.5	1.783599851798325e14
856.5	1.7819490576951897e14
857.5	1.7804885370064788e14
858.5	1.7791333362708194e14
859.5	1.7778596188525916e14
860.5	1.776516527834868e14
861.5	1.7751524283488375e14
862.5	1.773868288570165e14
863.5	1.7727074885513806e14
864.5	1.7717698567427478e14
865.5	1.7710730876251094e14
866.5	1.7705579024645828e14
867.5	1.7702287148504912e14
868.5	1.770169068498233e14
869.5	1.7703931140041506e14
870.5	1.770713049346957e14
871.5	1.77104983332302e14
872.5	1.7713145987992538e14
873.5	1.7713915481567412e14
874.5	1.7713616062366244e14
875.5	1.7712168264092762e14
876.5	1.7709321184495775e14
877.5	1.7704289909548272e14
878.5	1.7698172240974622e14
879.5	1.769136523915114e14
880.5	1.7684344172823262e14
881.5	1.7678408567520344e14
882.5	1.767272016659648e14
883.5	1.7666800968567894e14
884.5	1.7660592837679362e14
885.5	1.7653960557603347e14
886.5	1.764690289210108e14
887.5	1.7639014387385562e14
888.5	1.7630119009561166e14
889.5	1.7619847025635078e14
890.5	1.7608136070614162e14
891.5	1.7595174876952044e14
892.5	1.7581249829121712e14
893.5	1.7566435448464322e14
894.5	1.7551000606070144e14
895.5	1.7534807526380503e14
896.5	1.7517951150364803e14
897.5	1.7500448991405747e14
898.5	1.7482377110720866e14
